"","label","genes","vascular_subtype"
"1","brain_large_artery","Mgp","Large Artery"
"2","brain_large_artery","Cytl1","Large Artery"
"3","brain_large_artery","Fbln5","Large Artery"
"4","brain_large_artery","Clu","Large Artery"
"5","brain_large_artery","Eln","Large Artery"
"6","brain_large_artery","Bgn","Large Artery"
"7","brain_large_artery","Igfbp4","Large Artery"
"8","brain_large_artery","Cfh","Large Artery"
"9","brain_large_artery","Lmcd1","Large Artery"
"10","brain_large_artery","Bpgm","Large Artery"
"11","brain_large_artery","Cmip","Large Artery"
"12","brain_large_artery","Htra1","Large Artery"
"13","brain_large_artery","Sat1","Large Artery"
"14","brain_large_artery","Bmx","Large Artery"
"15","brain_large_artery","Reck","Large Artery"
"16","brain_large_artery","Emp3","Large Artery"
"17","brain_large_artery","Vim","Large Artery"
"18","brain_large_artery","S100a11","Large Artery"
"19","brain_large_artery","Timp2","Large Artery"
"20","brain_large_artery","Ptgis","Large Artery"
"21","brain_large_artery","Fhl1","Large Artery"
"22","brain_large_artery","Ccnd2","Large Artery"
"23","brain_large_artery","Cp","Large Artery"
"24","brain_large_artery","Emp1","Large Artery"
"25","brain_large_artery","Id2","Large Artery"
"26","brain_large_artery","Rhob","Large Artery"
"27","brain_large_artery","Tm4sf1","Large Artery"
"28","brain_large_artery","Fn1","Large Artery"
"29","brain_large_artery","Emp2","Large Artery"
"30","brain_large_artery","Pam","Large Artery"
"31","brain_large_artery","Cd82","Large Artery"
"32","brain_large_artery","Jag1","Large Artery"
"33","brain_large_artery","Spint2","Large Artery"
"34","brain_large_artery","Irf6","Large Artery"
"35","brain_large_artery","Kcnn4","Large Artery"
"36","brain_large_artery","Atp2a3","Large Artery"
"37","brain_large_artery","Ace","Large Artery"
"38","brain_large_artery","Nuak1","Large Artery"
"39","brain_large_artery","Gja4","Large Artery"
"40","brain_large_artery","Lmo1","Large Artery"
"41","brain_large_artery","Sdc1","Large Artery"
"42","brain_large_artery","Synpo","Large Artery"
"43","brain_large_artery","Edn1","Large Artery"
"44","brain_large_artery","Mmrn2","Large Artery"
"45","brain_large_artery","Tspan7","Large Artery"
"46","brain_large_artery","Phlda3","Large Artery"
"47","brain_large_artery","Arl15","Large Artery"
"48","brain_large_artery","Dkk2","Large Artery"
"49","brain_large_artery","Fstl1","Large Artery"
"50","brain_large_artery","H2-Q6","Large Artery"
"51","brain_arteryshearstress","8430408G22Rik","Artery"
"52","brain_arteryshearstress","S100a6","Artery"
"53","brain_arteryshearstress","Azin1","Artery"
"54","brain_arteryshearstress","Pi16","Artery"
"55","brain_arteryshearstress","Cd9","Artery"
"56","brain_arteryshearstress","Gadd45g","Artery"
"57","brain_arteryshearstress","Timp3","Artery"
"58","brain_arteryshearstress","Stmn2","Artery"
"59","brain_arteryshearstress","Nr4a1","Artery"
"60","brain_arteryshearstress","Apold1","Artery"
"61","brain_arteryshearstress","Hbegf","Artery"
"62","brain_arteryshearstress","Lmna","Artery"
"63","brain_arteryshearstress","Nr4a2","Artery"
"64","brain_arteryshearstress","Cdh13","Artery"
"65","brain_arteryshearstress","Crip1","Artery"
"66","brain_arteryshearstress","Ckb","Artery"
"67","brain_arteryshearstress","Cyb5r3","Artery"
"68","brain_arteryshearstress","Ppp1r15a","Artery"
"69","brain_arteryshearstress","S100a10","Artery"
"70","brain_arteryshearstress","Amd1","Artery"
"71","brain_arteryshearstress","Tmem100","Artery"
"72","brain_arteryshearstress","Lrrc32","Artery"
"73","brain_arteryshearstress","Cdk19","Artery"
"74","brain_arteryshearstress","Fez1","Artery"
"75","brain_arteryshearstress","Ssu2","Artery"
"76","brain_arteryshearstress","Ccnl1","Artery"
"77","brain_arteryshearstress","Lypd1","Artery"
"78","brain_arteryshearstress","Nov","Artery"
"79","brain_arteryshearstress","Atf3","Artery"
"80","brain_arteryshearstress","Laptm5","Artery"
"81","brain_arteryshearstress","Rasd1","Artery"
"82","brain_arteryshearstress","Ccdc184","Artery"
"83","brain_arteryshearstress","Klf4","Artery"
"84","brain_arteryshearstress","Fos","Artery"
"85","brain_arteryshearstress","Adamts1","Artery"
"86","brain_arteryshearstress","Fbln2","Artery"
"87","brain_arteryshearstress","Actg1","Artery"
"88","brain_arteryshearstress","Col18a1","Artery"
"89","brain_arteryshearstress","P2ry2","Artery"
"90","brain_arteryshearstress","Npnt","Artery"
"91","brain_arteryshearstress","Kazald1","Artery"
"92","brain_arteryshearstress","Tppp3","Artery"
"93","brain_arteryshearstress","Mast4","Artery"
"94","brain_arteryshearstress","S100a4","Artery"
"95","brain_arteryshearstress","Dbndd2","Artery"
"96","brain_arteryshearstress","Gper1","Artery"
"97","brain_arteryshearstress","Prex2","Artery"
"98","brain_arteryshearstress","Dusp2","Artery"
"99","brain_arteryshearstress","Hspa5","Artery"
"100","brain_arteryshearstress","Trpv4","Artery"
"101","brain_artery","Gkn3","Artery"
"102","brain_artery","Egfl8","Artery"
"103","brain_artery","Vegfc","Artery"
"104","brain_artery","Hrct1","Artery"
"105","brain_artery","Cdkn1c","Artery"
"106","brain_artery","Eps8l2","Artery"
"107","brain_artery","Alpl","Artery"
"108","brain_artery","Hey1","Artery"
"109","brain_artery","Edn3","Artery"
"110","brain_artery","Mgst1","Artery"
"111","brain_artery","Eogt","Artery"
"112","brain_artery","Hist1h2bc","Artery"
"113","brain_artery","Irf7","Artery"
"114","brain_artery","Ifitm3","Artery"
"115","brain_artery","Wnt5b","Artery"
"116","brain_artery","Mall","Artery"
"117","brain_artery","Sox18","Artery"
"118","brain_artery","Mylk","Artery"
"119","brain_artery","Ifi47","Artery"
"120","brain_artery","Syt15","Artery"
"121","brain_artery","Dll4","Artery"
"122","brain_artery","Ccnd1","Artery"
"123","brain_artery","Arhgap10","Artery"
"124","brain_artery","C1qtnf9","Artery"
"125","brain_artery","P2ry1","Artery"
"126","brain_artery","Ret","Artery"
"127","brain_artery","Phf11d","Artery"
"128","brain_artery","Irgm2","Artery"
"129","brain_artery","Apol9b","Artery"
"130","brain_artery","Lgals3bp","Artery"
"131","brain_artery","Nrarp","Artery"
"132","brain_artery","Apol10b","Artery"
"133","brain_artery","Id1","Artery"
"134","brain_artery","Jag2","Artery"
"135","brain_artery","Fam114a1","Artery"
"136","brain_artery","Kank4","Artery"
"137","brain_artery","Ankrd29","Artery"
"138","brain_artery","Alox12","Artery"
"139","brain_artery","Tacc2","Artery"
"140","brain_artery","Zeb2","Artery"
"141","brain_artery","Nipal2","Artery"
"142","brain_artery","Bche","Artery"
"143","brain_artery","Hist1h1c","Artery"
"144","brain_artery","Calcoco1","Artery"
"145","brain_artery","Rnf152","Artery"
"146","brain_artery","Tec","Artery"
"147","brain_artery","Hist1h4h","Artery"
"148","brain_artery","Cxxc5","Artery"
"149","brain_artery","Islr2","Artery"
"150","brain_artery","Ankhd1","Artery"
"151","brain_capillaryarterial","Glul","Arteriole"
"152","brain_capillaryarterial","Rad54b","Arteriole"
"153","brain_capillaryarterial","Tuba1a","Arteriole"
"154","brain_capillaryarterial","Tgfb2","Arteriole"
"155","brain_capillaryarterial","Stmn1","Arteriole"
"156","brain_capillaryarterial","Akap12","Arteriole"
"157","brain_capillaryarterial","Klf6","Arteriole"
"158","brain_capillaryarterial","Dusp1","Arteriole"
"159","brain_capillaryarterial","Zfp771","Arteriole"
"160","brain_capillaryarterial","Actb","Arteriole"
"161","brain_capillaryarterial","Tnfrsf12a","Arteriole"
"162","brain_capillaryarterial","Akr1c14","Arteriole"
